| #   | Length  | Distribution | Mode     | Direction | Algorithm | Time   |
| 90  | 10000   | Normal       | TopK     | ASC       | Heap      | 1      |
| 91  | 10000   | Normal       | TopK     | DESC      | Insertion | 14     |
| 92  | 10000   | Normal       | TopK     | DESC      | Heap      | 1      |
| 93  | 10000   | Normal       | FastTopK | ASC       | Insertion | 3      |
| 94  | 10000   | Normal       | FastTopK | ASC       | Heap      | 0      |
| 95  | 10000   | Normal       | FastTopK | DESC      | Insertion | 3      |
| 96  | 10000   | Normal       | FastTopK | DESC      | Heap      | 0      |
| 97  | 100000  | Uniform      | Sort     | ASC       | Insertion | 1099   |
| 98  | 100000  | Uniform      | Sort     | ASC       | Heap      | 12     |
| 99  | 100000  | Uniform      | Sort     | DESC      | Insertion | 1085   |
| 100 | 100000  | Uniform      | Sort     | DESC      | Heap      | 14     |
| 101 | 100000  | Uniform      | TopK     | ASC       | Insertion | 1096   |
| 102 | 100000  | Uniform      | TopK     | ASC       | Heap      | 14     |
| 103 | 100000  | Uniform      | TopK     | DESC      | Insertion | 1095   |
| 104 | 100000  | Uniform      | TopK     | DESC      | Heap      | 13     |
| 105 | 100000  | Uniform      | FastTopK | ASC       | Insertion | 45     |
| 106 | 100000  | Uniform      | FastTopK | ASC       | Heap      | 1      |
| 107 | 100000  | Uniform      | FastTopK | DESC      | Insertion | 83     |
| 108 | 100000  | Uniform      | FastTopK | DESC      | Heap      | 2      |
| 109 | 100000  | Normal       | Sort     | ASC       | Insertion | 1531   |
| 110 | 100000  | Normal       | Sort     | ASC       | Heap      | 25     |
| 111 | 100000  | Normal       | Sort     | DESC      | Insertion | 1509   |
| 112 | 100000  | Normal       | Sort     | DESC      | Heap      | 25     |
| 113 | 100000  | Normal       | TopK     | ASC       | Insertion | 1530   |
| 114 | 100000  | Normal       | TopK     | ASC       | Heap      | 25     |
| 115 | 100000  | Normal       | TopK     | DESC      | Insertion | 1507   |
| 116 | 100000  | Normal       | TopK     | DESC      | Heap      | 25     |
| 117 | 100000  | Normal       | FastTopK | ASC       | Insertion | 377    |
| 118 | 100000  | Normal       | FastTopK | ASC       | Heap      | 12     |
| 119 | 100000  | Normal       | FastTopK | DESC      | Insertion | 383    |
| 120 | 100000  | Normal       | FastTopK | DESC      | Heap      | 11     |
| 121 | 1000000 | Uniform      | Sort     | ASC       | Insertion | 119454 |
| 122 | 1000000 | Uniform      | Sort     | ASC       | Heap      | 288    |
| 123 | 1000000 | Uniform      | Sort     | DESC      | Insertion | 119369 |
| 124 | 1000000 | Uniform      | Sort     | DESC      | Heap      | 245    |
| 125 | 1000000 | Uniform      | TopK     | ASC       | Insertion | 118425 |
| 126 | 1000000 | Uniform      | TopK     | ASC       | Heap      | 254    |
| 127 | 1000000 | Uniform      | TopK     | DESC      | Insertion | 119745 |
| 128 | 1000000 | Uniform      | TopK     | DESC      | Heap      | 243    |
| 129 | 1000000 | Uniform      | FastTopK | ASC       | Insertion | 4863   |
| 130 | 1000000 | Uniform      | FastTopK | ASC       | Heap      | 33     |
| 131 | 1000000 | Uniform      | FastTopK | DESC      | Insertion | 8912   |
| 132 | 1000000 | Uniform      | FastTopK | DESC      | Heap      | 42     |
| 133 | 1000000 | Normal       | Sort     | ASC       | Insertion | 163483 |
| 134 | 1000000 | Normal       | Sort     | ASC       | Heap      | 630    |
| 135 | 1000000 | Normal       | Sort     | DESC      | Insertion | 167219 |
| 136 | 1000000 | Normal       | Sort     | DESC      | Heap      | 656    |
| 137 | 1000000 | Normal       | TopK     | ASC       | Insertion | 167451 |
| 138 | 1000000 | Normal       | TopK     | ASC       | Heap      | 638    |
| 139 | 1000000 | Normal       | TopK     | DESC      | Insertion | 164736 |
| 140 | 1000000 | Normal       | TopK     | DESC      | Heap      | 637    |
| 141 | 1000000 | Normal       | FastTopK | ASC       | Insertion | 40052  |
| 142 | 1000000 | Normal       | FastTopK | ASC       | Heap      | 242    |
| 143 | 1000000 | Normal       | FastTopK | DESC      | Insertion | 39826  |
| 144 | 1000000 | Normal       | FastTopK | DESC      | Heap      | 248    |
